,Review,Category
0,Comida muy rica y atención excelente.,comida
1,"La calidad de los productos es ..TOPRecomendable, pero caro",precio
2,precio,precio
3,Todo el personal iba sin mascarilla.,servicio
4,"Al llegar al local nos encontramos que todo el personal al completo no usa mascarillas lo que transmite una gran inseguridad, especialmente cuando vienen a la mesa para tomar nota, llevar o traer platos o preguntarnos por el postre.",servicio
5,Por lo demás la comida muy exquisita y el servicio muy bueno.,comida
6,"Elegimos una fecha especial y un lugar especial para hacer una comida de negocios: el día elegido fue el 22.02.2022 (no hay más doses hasta dentro de 200 años cuando sea el 2222), y el lugar elegido fue EL FILANDÓN.El lugar te gustará por su decoración, por su interminable equipo de camareros, por la buena atención de sus maitres y por el ""ambiente pegadizo"" de gente guapa comiendo en las mesas de alrededor.Pero si lo que buscas es comer BBB ó al menos BB, te aseguro que no muy lejos de este restaurante puedes encontrar mejores opciones en lo que a calidad y precio se refiere.La relación Calidad/Precio no es buena.Una comida  de 3 personas salió por 250€, eligiendo un vino de 18€ de la parte baja de la carta.",precio
7,"El chuletón a la brasa, muy bien presentado sobre piedra y convenientemente cortado en tiras, contenía muchísima grasa de cobertura (no intramuscular) para quien paga 90 € para degustar un buen chuletón de éso, de carne no es agradable pagar 90e para que te pongan casi un 50% de grasa de cobertura que se queda en el plato.",comida
8,"La comida destaca por la materia prima, especialmente en pescados.",comida
9,Precio medio alto pero bien merecido para alguna comida especial.,precio
10,Postres generosos.,comida
11,"Por supuesto, a nosotros nos trataron en segunda categria.El maitre que ""nos tocó"", si acaso apenas nos saludo, sin embargo a la mesa que estaba al lado, casi le besaba los pies, esto sería un simple detalle sin importancia, si el servicio hubiera estado a la altura, pero no fue así.Para empezar nadie te atiende, el maitre se ocupa de quien le interesa, y las otras mesas podemos pasar 20 minutos sin que nadie te pregunte por la bebidas!",servicio
12,Tuvimos que llamar a un mesero 3 veces para que nos atendiera!!!,servicio
13,"Toda la comida fue una sucesión de mal servicio, y cuando llamamos al  mesero para quejarnos, no contesto, nos dio la espalda y se fue!!!",servicio
14,"Si al maitre y al mesero no le importan los clientes, entonces quién se ocupa de ellos?Y aquí viene lo mejor de todo, para que veáis la clase de personal que tienen: pedimos un vino dulce, y el mesero nos trajo una carta de vinos en donde no habían vinos dulces!!!!",servicio
15,"Pues ya podéis entender el pésimo servicio de donde viene.Lo increíble es que  a pesar de que te hacen sentir como un cliente de segunda clase, te cobran como uno de primera.Y todo esto ocurrió en 3 horas!",servicio
16,"!Sinceramente me parece un abuso, de mal gusto y con un servicio que se cree más importante que el propio cliente.No lo recomiendo para nada, con la cantidad de restaurantes que hay en Madrid, que de lejos los mejoran en servicio y gatronomia.",servicio
17,"Fuimos ayer día de San José , 9 personas y estaba completisimo y con doblete en algunas mesas, consecuencia, mal servicio, más de 30 minutos para traernos la bebida, no pudiendo repetir de bebida porque i estaban atentos , toda la comida llegó fría, la salsa de los diferentes pescados era la misma en todos y congelada, realmente han ampliado mucho más y van a morir de éxito porque antes era sinónimo de vas a comer bien y un éxito asegurado y ahora más precio que antes y desastre total … Nuestra reserva fue hecha en enero para asegurarnos disponibilidad pero claramente ya no merece la pena ir a este sitio porque ni calidad ni el servicio es el de antes .",precio
18,"En época de COVID, la mayoría de sus camareros llevan las mascarillas por debajo de la nariz",servicio
